Average Market Capitalization of listed companies during the six months ended 30 June 2020,,,,,,,,,,
Sr. No.,Company name,ISIN,BSE Symbol,BSE 6 month Avg Total Market Cap in (Rs. Crs.),NSE Symbol,NSE 6 month Avg Total Market Cap (Rs. Crs.),MSEI Symbol,MSEI 6 month Avg Total Market Cap in (Rs Crs.),Average of All Exchanges (Rs. Cr.),"Categorization as per SEBI Circular dated Oct 6, 2017"
1,RELIANCE INDUSTRIES LTD,INE002A01018,RELIANCE,893835.87,RELIANCE," 8,93,778.21 ",,," 8,93,807.04 ", Large Cap 
2,TATA CONSULTANCY SERVICES LTD.,INE467B01029,TCS,751701.96,TCS," 7,51,744.67 ",,," 7,51,723.31 ", Large Cap 
3,HDFC BANK LTD.,INE040A01034,HDFCBANK,578180.54,HDFCBANK," 5,77,825.75 ",,," 5,78,003.14 ", Large Cap 
4,"HINDUSTAN UNILEVER LTD.,",INE030A01027,HINDUNILVR,472707.64,HINDUNILVR," 4,70,496.23 ",,," 4,71,601.93 ", Large Cap 
5,HOUSING DEVELOPMENT FINANCE CORP.LT,INE001A01036,HDFC,340773.90,HDFC," 3,40,015.69 ",,," 3,40,394.80 ", Large Cap 
6,INFOSYS LTD,INE009A01021,INFY,300420.56,INFY," 3,00,370.59 ",,," 3,00,395.58 ", Large Cap 
7,BHARTI AIRTEL  LTD.,INE397D01024,BHARTIARTL,279544.16,BHARTIARTL," 2,78,849.32 ",,," 2,79,196.74 ", Large Cap 
8,KOTAK MAHINDRA BANK LTD.,INE237A01028,KOTAKBANK,273219.40,KOTAKBANK," 2,71,856.56 ",,," 2,72,537.98 ", Large Cap 
9,ICICI BANK LTD.,INE090A01021,ICICIBANK,269273.96,ICICIBANK," 2,69,179.10 ",,," 2,69,226.53 ", Large Cap 
10,ITC LTD,INE154A01025,ITC,239423.35,ITC," 2,39,372.37 ",,," 2,39,397.86 ", Large Cap 
11,"STATE BANK OF INDIA,",INE062A01020,SBIN,210026.95,SBIN," 2,10,033.84 ",,," 2,10,030.39 ", Large Cap 
12,BAJAJ FINANCE LIMITED,INE296A01024,BAJFINANCE,193424.09,BAJFINANCE," 1,93,407.30 ",,," 1,93,415.70 ", Large Cap 
13,MARUTI SUZUKI INDIA  LTD.,INE585B01010,MARUTI,178450.22,MARUTI," 1,78,462.97 ",,," 1,78,456.59 ", Large Cap 
14,ASIAN PAINTS LTD.,INE021A01026,ASIANPAINT,165236.75,ASIANPAINT," 1,65,209.65 ",,," 1,65,223.20 ", Large Cap 
15,NESTLE INDIA LTD.,INE239A01016,NESTLEIND,155638.82,,,,," 1,55,638.82 ", Large Cap 
16,AXIS BANK LTD.,INE238A01034,AXISBANK,150885.26,AXISBANK," 1,50,858.31 ",,," 1,50,871.78 ", Large Cap 
17,HCL TECHNOLOGIES LTD,INE860A01027,HCLTECH,146785.23,HCLTECH," 1,46,774.09 ",,," 1,46,779.66 ", Large Cap 
18,LARSEN & TOUBRO LIMITED,INE018A01030,LT,146224.20,LT," 1,46,208.35 ",,," 1,46,216.27 ", Large Cap 
19,AVENUE SUPERMARTS LIMITED,INE192R01011,DMART,141469.81,DMART," 1,40,859.95 ",,," 1,41,164.88 ", Large Cap 
20,"WIPRO  LTD.,",INE075A01022,WIPRO,122347.57,WIPRO," 1,22,336.00 ",,," 1,22,341.78 ", Large Cap 
21,OIL AND NATURAL GAS CORPORATION LTD,INE213A01029,ONGC,112307.12,ONGC," 1,12,329.11 ",,," 1,12,318.11 ", Large Cap 
22,ULTRATECH CEMENT LTD,INE481G01011,ULTRACEMCO,112026.84,ULTRACEMCO," 1,12,008.85 ",,," 1,12,017.85 ", Large Cap 
23,BAJAJ FINSERV LIMITED,INE918I01018,BAJAJFINSV,109028.41,BAJAJFINSV," 1,09,028.02 ",,," 1,09,028.22 ", Large Cap 
24,HDFC LIFE INSURANCE COMPANY LIMITED,INE795G01014,HDFCLIFE,106683.32,HDFCLIFE," 1,06,677.22 ",,," 1,06,680.27 ", Large Cap 
25,SUN PHARMACEUTICAL INDUSTRIES LTD.,INE044A01036,SUNPHARMA*,104624.81,SUNPHARMA," 1,04,636.46 ",,," 1,04,630.64 ", Large Cap 
26,NTPC LIMITED,INE733E01010,NTPC,99370.72,NTPC," 99,343.77 ",,," 99,357.24 ", Large Cap 
27,COAL INDIA LIMITED,INE522F01014,COALINDIA,97684.69,COALINDIA," 96,969.53 ",,," 97,327.11 ", Large Cap 
28,TITAN COMPANY LIMITED,INE280A01028,TITAN,93148.76,TITAN," 93,150.57 ",,," 93,149.66 ", Large Cap 
29,POWER GRID CORPORATION OF INDIA LIMITED,INE752E01010,POWERGRID,91113.88,POWERGRID," 91,092.82 ",,," 91,103.35 ", Large Cap 
30,INDIAN OIL CORPORATION LTD.,INE242A01010,IOC,90288.29,IOC," 90,272.22 ",,," 90,280.25 ", Large Cap 
31,"BHARAT PETROLEUM CORPN. LTD.,",INE029A01011,BPCL,84666.29,BPCL," 84,667.26 ",,," 84,666.77 ", Large Cap 
32,DABUR INDIA LTD.,INE016A01026,DABUR,83053.87,DABUR," 83,059.04 ",,," 83,056.46 ", Large Cap 
33,SBI LIFE INSURANCE COMPANY LIMITED,INE123W01016,SBILIFE,81088.54,SBILIFE," 81,108.94 ",,," 81,098.74 ", Large Cap 
34,BAJAJ AUTO LIMITED,INE917I01010,BAJAJ-AUTO,78558.15,BAJAJ-AUTO," 78,549.01 ",,," 78,553.58 ", Large Cap 
35,"SHREE CEMENTS LTD.,",INE070A01015,SHREECEM,76296.07,SHREECEM," 76,289.12 ",,," 76,292.60 ", Large Cap 
36,"HINDUSTAN ZINC LTD.,",INE267A01025,HINDZINC,75443.07,HINDZINC," 75,448.91 ",,," 75,445.99 ", Large Cap 
37,PIDILITE INDUSTRIES LTD.,INE318A01026,PIDILITIND,73978.98,PIDILITIND," 73,964.61 ",,," 73,971.80 ", Large Cap 
38,"BRITANNIA INDUSTRIES LTD.,",INE216A01030,BRITANNIA,73788.10,BRITANNIA," 73,788.64 ",,," 73,788.37 ", Large Cap 
39,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD,INE742F01042,ADANIPORTS,66341.90,ADANIPORTS," 66,335.54 ",,," 66,338.72 ", Large Cap 
40,GODREJ CONSUMER PRODUCTS LTD.,INE102D01028,GODREJCP,62516.77,GODREJCP," 62,523.72 ",,," 62,520.25 ", Large Cap 
41,TECH MAHINDRA LIMITED,INE669C01036,TECHM,61963.35,TECHM," 61,950.51 ",,," 61,956.93 ", Large Cap 
42,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,INE726G01019,ICICIPRULI,59493.27,ICICIPRULI," 59,502.91 ",,," 59,498.09 ", Large Cap 
43,HDFC ASSET MANAGEMENT COMPANY LIMITED,INE127D01025,HDFCAMC,58791.42,HDFCAMC," 58,785.11 ",,," 58,788.26 ", Large Cap 
44,"DR. REDDY'S LABORATORIES LTD.,",INE089A01023,DRREDDY,57212.38,DRREDDY," 57,221.28 ",,," 57,216.83 ", Large Cap 
45,DIVI'S LABORATORIES LTD.,INE361B01024,DIVISLAB,57119.70,DIVISLAB," 57,121.36 ",,," 57,120.53 ", Large Cap 
46,ICICI LOMBARD GENERAL INSURANCE COMPANY LIMITED ,INE765G01017,ICICIGI,56775.61,ICICIGI," 56,802.24 ",,," 56,788.92 ", Large Cap 
47,MAHINDRA & MAHINDRA LTD.,INE101A01026,M&M,56424.87,M&M," 56,416.43 ",,," 56,420.65 ", Large Cap 
48,SBI CARDS AND PAYMENT SERVICES LIMITED,INE018E01016,SBICARD,55148.17,SBICARD," 55,154.06 ",,," 55,151.11 ", Large Cap 
49,INDUSIND BANK LTD.,INE095A01012,INDUSINDBK,53898.16,INDUSINDBK," 53,887.34 ",,," 53,892.75 ", Large Cap 
50,BANDHAN BANK LIMITED,INE545U01014,BANDHANBNK,52310.10,BANDHANBNK," 52,309.64 ",,," 52,309.87 ", Large Cap 
51,JSW STEEL LIMITED,INE019A01038,JSWSTEEL,51149.56,JSWSTEEL," 51,153.79 ",,," 51,151.67 ", Large Cap 
52,BERGER PAINTS INDIA LTD,INE463A01038,BERGEPAINT,49565.71,BERGEPAINT," 49,574.84 ",,," 49,570.28 ", Large Cap 
53,EICHER MOTORS LTD.,INE066A01013,EICHERMOT,46418.18,EICHERMOT," 46,423.43 ",,," 46,420.81 ", Large Cap 
54,GAIL (INDIA) LTD.,INE129A01019,GAIL,45660.05,GAIL," 45,665.74 ",,," 45,662.89 ", Large Cap 
55,DLF LIMITED,INE271C01023,DLF,44302.65,DLF," 44,299.79 ",,," 44,301.22 ", Large Cap 
56,INTERGLOBE AVIATION LIMITED,INE646L01027,INDIGO,44268.61,INDIGO," 44,270.08 ",,," 44,269.34 ", Large Cap 
57,"SIEMENS LTD.,",INE003A01024,SIEMENS,44239.81,SIEMENS," 44,242.80 ",,," 44,241.31 ", Large Cap 
58,HERO MOTOCORP LIMITED,INE158A01026,HEROMOTOCO,43281.39,HEROMOTOCO," 43,280.46 ",,," 43,280.93 ", Large Cap 
59,UNITED SPIRITS LIMITED,INE854D01024,UNITDSPR,42393.08,MCDOWELL-N," 42,392.16 ",,," 42,392.62 ", Large Cap 
60,"CIPLA LTD.,",INE059A01026,CIPLA,41863.23,CIPLA," 41,863.03 ",,," 41,863.13 ", Large Cap 
61,"GRASIM INDUSTRIES LTD.,",INE047A01021,GRASIM,41075.43,GRASIM," 41,073.83 ",,," 41,074.63 ", Large Cap 
62,VEDANTA LIMITED,INE205A01025,VEDL,40413.48,VEDL," 40,412.27 ",,," 40,412.88 ", Large Cap 
63,TATA STEEL LIMITED,INE081A01012,TATASTEEL,40507.31,TATASTEEL," 39,823.33 ",,," 40,165.32 ", Large Cap 
64,MARICO LIMITED,INE196A01026,MARICO,39886.93,MARICO," 39,887.85 ",,," 39,887.39 ", Large Cap 
65,TATA MOTORS LTD.,INE155A01022,TATAMOTORS,39406.12,TATAMOTORS," 38,834.07 ",,," 39,120.10 ", Large Cap 
66,BIOCON LTD.,INE376G01013,BIOCON,38921.71,BIOCON," 38,926.24 ",,," 38,923.98 ", Large Cap 
67,BHARTI INFRATEL LIMITED,INE121J01017,INFRATEL,38653.20,INFRATEL," 38,648.32 ",,," 38,650.76 ", Large Cap 
68,AMBUJA CEMENTS LTD.,INE079A01024,AMBUJACEM,37296.39,AMBUJACEM," 37,292.52 ",,," 37,294.45 ", Large Cap 
69,TORRENT PHARMACEUTICALS LTD.,INE685A01028,TORNTPHARM,37222.73,TORNTPHARM," 37,224.23 ",,," 37,223.48 ", Large Cap 
70,"COLGATE-PALMOLIVE (INDIA) LTD.,",INE259A01022,COLPAL,36886.72,COLPAL," 36,885.18 ",,," 36,885.95 ", Large Cap 
71,PETRONET LNG LTD.,INE347G01014,PETRONET,36528.42,PETRONET," 36,522.87 ",,," 36,525.64 ", Large Cap 
72,HAVELLS INDIA LIMITED,INE176B01034,HAVELLS,35497.23,HAVELLS," 35,491.38 ",,," 35,494.31 ", Large Cap 
73,BOSCH LTD,INE323A01026,BOSCHLTD,34920.92,BOSCHLTD," 34,915.55 ",,," 34,918.23 ", Large Cap 
74,LUPIN LTD,INE326A01037,LUPIN,34903.82,LUPIN," 34,906.61 ",,," 34,905.22 ", Large Cap 
75,UPL LIMITED,INE628A01036,UPL,34381.42,UPL," 34,382.46 ",,," 34,381.94 ", Large Cap 
76,PROCTER & GAMBLE HYGIENE & HEALTH CARE LTD.,INE179A01014,PGHH,34299.65,PGHH," 34,296.79 ",,," 34,298.22 ", Large Cap 
77,ADANI GREEN ENERGY LIMITED,INE364U01010,ADANIGREEN,34116.68,ADANIGREEN," 34,130.92 ",,," 34,123.80 ", Large Cap 
78,HINDALCO INDUSTRIES LTD.,INE038A01020,HINDALCO,33792.90,HINDALCO," 33,792.37 ",,," 33,792.63 ", Large Cap 
79,AUROBINDO PHARMA LTD.,INE406A01037,AUROPHARMA,33278.00,AUROPHARMA," 33,281.03 ",,," 33,279.51 ", Large Cap 
80,HINDUSTAN PETROLEUM CORPORATION LTD,INE094A01015,HINDPETRO,32717.40,HINDPETRO," 32,718.89 ",,," 32,718.14 ", Large Cap 
81,MUTHOOT FINANCE LIMITED,INE414G01012,MUTHOOTFIN,32569.29,MUTHOOTFIN," 32,569.00 ",,," 32,569.15 ", Large Cap 
82,ABBOTT INDIA LTD.,INE358A01014,ABBOTINDIA,32536.12,,,,," 32,536.12 ", Large Cap 
83,INDRAPRASHTHA GAS LTD.,INE203G01027,IGL,31555.75,IGL," 31,558.37 ",,," 31,557.06 ", Large Cap 
84,"MOTHERSON SUMI SYSTEMS LTD.,",INE775A01035,MOTHERSUMI,31529.51,MOTHERSUMI," 31,522.99 ",,," 31,526.25 ", Large Cap 
85,PUNJAB NATIONAL BANK,INE160A01022,PNB,31661.76,PNB," 31,244.57 ",,," 31,453.17 ", Large Cap 
86,INFO EDGE(INDIA) LTD.,INE663F01024,NAUKRI,31269.34,NAUKRI," 31,244.47 ",,," 31,256.90 ", Large Cap 
87,CADILA HEALTHCARE LTD.,INE010B01027,CADILAHC,30876.41,CADILAHC," 30,878.78 ",,," 30,877.60 ", Large Cap 
88,LARSEN & TOUBRO INFOTECH LIMITED,INE214T01019,LTI,30470.89,LTI," 30,472.22 ",,," 30,471.55 ", Large Cap 
89,BAJAJ HOLDINGS & INVESTMENT LIMITED,INE118A01012,BAJAJHLDNG,30038.05,BAJAJHLDNG," 30,030.50 ",,," 30,034.27 ", Large Cap 
90,GENERAL INSURANCE CORPORATION OF INDIA,INE481Y01014,GICRE,29844.34,GICRE," 29,849.19 ",,," 29,846.77 ", Large Cap 
91,BANK OF BARODA,INE028A01039,BANKBARODA,29725.65,BANKBARODA," 29,567.26 ",,," 29,646.45 ", Large Cap 
92,IDBI BANK LTD,INE008A01015,IDBI,29599.04,IDBI," 29,619.29 ",,," 29,609.17 ", Large Cap 
93,ALKEM LABORATORIES LIMITED,INE540L01014,ALKEM,29160.76,ALKEM," 29,148.24 ",,," 29,154.50 ", Large Cap 
94,UNITED BREWERIES LTD.,INE686F01025,UBL,28453.84,UBL," 28,457.21 ",,," 28,455.52 ", Large Cap 
95,NMDC LTD,INE584A01023,NMDC,28303.07,NMDC," 28,298.71 ",,," 28,300.89 ", Large Cap 
96,ADANI TRANSMISSION LIMITED,INE931S01010,ADANITRANS,26985.36,ADANITRANS," 26,986.57 ",,," 26,985.96 ", Large Cap 
97,"M.R.F. LTD.,",INE883A01011,MRF,26899.78,MRF," 26,904.01 ",,," 26,901.90 ", Large Cap 
98,PIRAMAL ENTERPRISES LIMITED,INE140A01024,PEL,26749.09,PEL," 26,746.89 ",,," 26,747.99 ", Large Cap 
99,TATA CONSUMER PRODUCTS LIMITED,INE192A01025,TATACONSUM,26968.48,TATACONSUM," 26,408.94 ",,," 26,688.71 ", Large Cap 
100,CONTAINER CORPORATION OF INDIA LTD.,INE111A01025,CONCOR,26675.15,CONCOR," 26,678.97 ",,," 26,677.06 ", Large Cap 
101,WHIRLPOOL OF INDIA LTD,INE716A01013,WHIRLPOOL,26593.30,WHIRLPOOL," 26,595.78 ",,," 26,594.54 ", Mid Cap 
102,POWER FINANCE CORPORATION LTD,INE134E01011,PFC,26357.68,PFC," 26,358.32 ",,," 26,358.00 ", Mid Cap 
103,HONEYWELL AUTOMATION INDIA LTD.,INE671A01010,HONAUT,25449.56,HONAUT," 25,452.28 ",,," 25,450.92 ", Mid Cap 
104,ACC LTD,INE012A01025,ACC,24020.69,ACC," 24,024.00 ",,," 24,022.34 ", Mid Cap 
105,GLAXOSMITHKLINE PHARMACEUTICALS LTD.,INE159A01016,GLAXO,23961.19,GLAXO," 23,972.19 ",,," 23,966.69 ", Mid Cap 
106,KANSAI NEROLAC PAINTS,INE531A01024,KANSAINER,23328.70,KANSAINER," 23,331.98 ",,," 23,330.34 ", Mid Cap 
107,YES BANK LTD.,INE528G01035,YESBANK,23503.30,YESBANK," 22,054.05 ",,," 22,778.67 ", Mid Cap 
108,PAGE INDUSTRIES LTD.,INE761H01022,PAGEIND,22726.85,PAGEIND," 22,728.62 ",,," 22,727.73 ", Mid Cap 
109,3M INDIA LTD.,INE470A01017,3MINDIA,22307.33,3MINDIA," 22,305.58 ",,," 22,306.46 ", Mid Cap 
110,REC LIMITED,INE020B01018,RECLTD,22066.50,RECLTD," 22,066.74 ",,," 22,066.62 ", Mid Cap 
111,ABB INDIA LIMITED,INE117A01022,ABB,21838.06,ABB," 21,833.57 ",,," 21,835.81 ", Mid Cap 
112,JUBILANT FOODWORKS LIMITED,INE797F01012,JUBLFOOD,21765.00,JUBLFOOD," 21,764.91 ",,," 21,764.95 ", Mid Cap 
113,NHPC LIMITED,INE848E01016,NHPC,21731.98,NHPC," 21,723.82 ",,," 21,727.90 ", Mid Cap 
114,ORACLE FINANCIAL SERVICES SOFTWARE LIMITED,INE881D01027,OFSS,21718.94,OFSS," 21,702.94 ",,," 21,710.94 ", Mid Cap 
115,HINDUSTAN AERONAUTICS LIMITED,INE066F01012,HAL,21698.20,HAL," 21,702.10 ",,," 21,700.15 ", Mid Cap 
116,AU SMALL FINANCE BANK LIMITED,INE949L01017,AUBANK,21893.11,AUBANK," 21,382.26 ",,," 21,637.68 ", Mid Cap 
117,GODREJ PROPERTIES LIMITED,INE484J01027,GODREJPROP,21224.02,GODREJPROP," 21,213.83 ",,," 21,218.93 ", Mid Cap 
118,INDIAN RAILWAY CATERING AND TOURISM CORPORATION LIMITED,INE335Y01012,IRCTC,20688.25,IRCTC," 20,689.39 ",,," 20,688.82 ", Mid Cap 
119,"SRF LTD.,",INE647A01010,SRF,20524.04,SRF," 20,524.31 ",,," 20,524.17 ", Mid Cap 
120,THE NEW INDIA ASSURANCE COMPANY LIMITED,INE470Y01017,NIACL,20488.66,NIACL," 20,490.20 ",,," 20,489.43 ", Mid Cap 
121,PI INDUSTRIES LIMITED,INE603J01030,PIIND,20322.83,PIIND," 20,318.28 ",,," 20,320.55 ", Mid Cap 
122,"APOLLO HOSPITALS ENTERPRISES LTD.,",INE437A01024,APOLLOHOSP,20298.30,APOLLOHOSP," 20,302.22 ",,," 20,300.26 ", Mid Cap 
123,"BALKRISHNA INDUSTRIES LTD.,",INE787D01026,BALKRISIND,19952.06,BALKRISIND," 19,953.31 ",,," 19,952.69 ", Mid Cap 
124,VARUN BEVERAGES LIMITED,INE200M01013,VBL,19930.21,VBL," 19,929.33 ",,," 19,929.77 ", Mid Cap 
125,TRENT LTD [LAKME LTD],INE849A01020,TRENT,19819.42,TRENT," 19,829.02 ",,," 19,824.22 ", Mid Cap 
126,ADANI ENTERPRISES LTD.,INE423A01024,ADANIENT,19457.70,ADANIENT," 19,461.63 ",,," 19,459.67 ", Mid Cap 
127,"SHRIRAM TRANSPORT FINANCE CO. LTD.,",INE721A01013,SRTRANSFIN,19431.22,SRTRANSFIN," 19,428.37 ",,," 19,429.79 ", Mid Cap 
128,"VOLTAS LTD.,",INE226A01021,VOLTAS,19322.94,VOLTAS," 19,322.51 ",,," 19,322.73 ", Mid Cap 
129,"PFIZER LTD.,",INE182A01018,PFIZER,19225.55,PFIZER," 19,222.85 ",,," 19,224.20 ", Mid Cap 
130,BAYER CROPSCIENCE LIMITED.,INE462A01022,BAYERCROP,19140.64,,,,," 19,140.64 ", Mid Cap 
131,"BHARAT ELECTRONICS LTD.,",INE263A01024,BEL,19100.91,BEL," 19,102.69 ",,," 19,101.80 ", Mid Cap 
132,BATA INDIA LIMITED,INE176A01028,BATAINDIA,19034.25,BATAINDIA," 19,036.22 ",,," 19,035.23 ", Mid Cap 
133,ZEE ENTERTAINMENT ENTERPRISES LTD.,INE256A01028,ZEEL,19025.48,ZEEL," 19,024.25 ",,," 19,024.87 ", Mid Cap 
134,NIPPON LIFE INDIA ASSET MANAGEMENT LIMITED,INE298J01013,NAM-INDIA,18662.11,NAM-INDIA," 18,661.51 ",,," 18,661.81 ", Mid Cap 
135,GUJARAT GAS LIMITED,INE844O01030,GUJGAS,18346.32,GUJGASLTD," 18,348.59 ",,," 18,347.46 ", Mid Cap 
136,TVS MOTOR COMPANY LTD.,INE494B01023,TVSMOTOR,18092.65,TVSMOTOR," 18,092.53 ",,," 18,092.59 ", Mid Cap 
137,IPCA LABORATORIES LTD.,INE571A01020,IPCALAB,18044.10,IPCALAB," 18,053.43 ",,," 18,048.77 ", Mid Cap 
138,GILLETTE INDIA LTD.,INE322A01010,GILLETTE,17975.81,GILLETTE," 17,968.03 ",,," 17,971.92 ", Mid Cap 
139,"ASHOK LEYLAND LTD.,",INE208A01029,ASHOKLEY,17964.47,ASHOKLEY," 17,964.00 ",,," 17,964.23 ", Mid Cap 
140,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LTD,INE121A01024,CHOLAFIN,18042.73,CHOLAFIN," 17,758.56 ",,," 17,900.65 ", Mid Cap 
141,RAJESH EXPORTS LTD.,INE343B01030,RAJESHEXPO,17738.75,RAJESHEXPO," 17,738.55 ",,," 17,738.65 ", Mid Cap 
142,COROMANDEL INTERNATIONAL LIMITED,INE169A01031,COROMANDEL,17695.89,COROMANDEL," 17,696.52 ",,," 17,696.21 ", Mid Cap 
143,BHARAT FORGE LTD,INE465A01025,BHARATFORG,17494.93,BHARATFORG," 17,494.76 ",,," 17,494.84 ", Mid Cap 
144,SANOFI INDIA LTD,INE058A01010,SANOFI,16788.42,SANOFI," 16,785.30 ",,," 16,786.86 ", Mid Cap 
145,L&T FINANCE HOLDINGS LIMITED,INE498L01015,L&TFH,16718.82,L&TFH," 16,703.77 ",,," 16,711.30 ", Mid Cap 
146,ADANI POWER LIMITED,INE814H01011,ADANIPOWER,16674.68,ADANIPOWER," 16,677.34 ",,," 16,676.01 ", Mid Cap 
147,RELAXO FOOTWEARS LTD.,INE131B01039,RELAXO,16415.80,RELAXO," 16,414.82 ",,," 16,415.31 ", Mid Cap 
148,AARTI INDUSTRIES LTD,INE769A01020,AARTIIND,16234.83,AARTIIND," 16,235.95 ",,," 16,235.39 ", Mid Cap 
149,SUN TV NETWORK LIMITED,INE424H01027,SUNTV,16013.04,SUNTV," 16,013.52 ",,," 16,013.28 ", Mid Cap 
150,ADITYA BIRLA CAPITAL LTD,INE674K01013,ABCAPITAL,16024.01,ABCAPITAL," 15,984.27 ",,," 16,004.14 ", Mid Cap 
151,LIC HOUSING FINANCE LTD.,INE115A01026,LICHSGFIN,15940.25,LICHSGFIN," 15,942.61 ",,," 15,941.43 ", Mid Cap 
152,VODAFONE IDEA LIMITED,INE669E01016,IDEA,15881.33,IDEA," 15,866.37 ",,," 15,873.85 ", Mid Cap 
153,SUNDARAM FINANCE LTD,INE660A01013,SUNDARMFIN,15555.75,SUNDARMFIN," 15,553.40 ",,," 15,554.57 ", Mid Cap 
154,BANK OF INDIA,INE084A01016,BANKINDIA,15545.40,BANKINDIA," 15,548.07 ",,," 15,546.73 ", Mid Cap 
155,THE RAMCO CEMENTS LIMITED,INE331A01037,RAMCOCEM,15539.61,RAMCOCEM," 15,541.74 ",,," 15,540.67 ", Mid Cap 
156,UNION BANK OF INDIA,INE692A01016,UNIONBANK,15655.39,UNIONBANK," 15,307.34 ",,," 15,481.37 ", Mid Cap 
157,OBEROI REALTY LIMITED,INE093I01010,OBEROIRLTY,15459.04,OBEROIRLTY," 15,460.50 ",,," 15,459.77 ", Mid Cap 
158,AIA ENGINEERING LTD.,INE212H01026,AIAENG,15363.14,AIAENG," 15,367.34 ",,," 15,365.24 ", Mid Cap 
159,MPHASIS LIMITED,INE356A01018,MPHASIS,15305.86,MPHASIS," 15,311.12 ",,," 15,308.49 ", Mid Cap 
160,ASTRAL POLY TECHNIK LTD,INE006I01046,ASTRAL,15215.05,ASTRAL," 15,221.66 ",,," 15,218.35 ", Mid Cap 
161,MAHINDRA & MAHINDRA FINANCIAL SERVICES LIMITED,INE774D01024,M&MFIN,15038.91,M&MFIN," 15,038.38 ",,," 15,038.65 ", Mid Cap 
162,CANARA BANK,INE476A01014,CANBK,15113.49,CANBK," 14,876.56 ",,," 14,995.02 ", Mid Cap 
163,CROMPTON GREAVES CONSUMER ELECTRICALS LIMITED,INE299U01018,CROMPTON,14917.64,CROMPTON," 14,926.12 ",,," 14,921.88 ", Mid Cap 
164,TORRENT POWER LIMITED,INE813H01021,TORNTPOWER,14745.05,TORNTPOWER," 14,745.03 ",,," 14,745.04 ", Mid Cap 
165,ADANI GAS LIMITED,INE399L01023,ADANIGAS,14613.03,ADANIGAS," 14,619.52 ",,," 14,616.27 ", Mid Cap 
166,IDFC FIRST BANK LIMITED,INE092T01019,IDFCFIRSTB,14619.14,IDFCFIRSTB," 14,555.70 ",,," 14,587.42 ", Mid Cap 
167,MINDTREE  LIMITED,INE018I01017,MINDTREE,14488.55,MINDTREE," 14,485.39 ",,," 14,486.97 ", Mid Cap 
168,L&T TECHNOLOGY SERVICES LIMITED,INE010V01017,LTTS,14480.40,LTTS," 14,476.35 ",,," 14,478.37 ", Mid Cap 
169,"SUPREME INDUSTRIES LTD.,",INE195A01028,SUPREMEIND,14289.35,SUPREMEIND," 14,301.13 ",,," 14,295.24 ", Mid Cap 
170,"STEEL AUTHORITY OF INDIA LTD.,",INE114A01011,SAIL,14277.86,SAIL," 14,277.68 ",,," 14,277.77 ", Mid Cap 
171,ADITYA BIRLA FASHION AND RETAIL LIMITED,INE647O01011,ABFRL,13992.25,ABFRL," 13,982.88 ",,," 13,987.56 ", Mid Cap 
172,"EXIDE INDUSTRIES LTD.,",INE302A01020,EXIDEIND,13806.04,EXIDEIND," 13,806.63 ",,," 13,806.33 ", Mid Cap 
173,JINDAL STEEL & POWER LTD,INE749A01030,JINDALSTEL,13801.89,JINDALSTEL," 13,801.81 ",,," 13,801.85 ", Mid Cap 
174,"ATUL LIMITED.,",INE100A01010,ATUL,13424.99,ATUL," 13,425.85 ",,," 13,425.42 ", Mid Cap 
175,DR. LAL PATHLABS LIMITED,INE600L01024,LALPATHLAB,13125.50,LALPATHLAB," 13,125.88 ",,," 13,125.69 ", Mid Cap 
176,ALEMBIC PHARMACEUTICALS LIMITED,INE901L01018,APLLTD,13076.04,APLLTD," 13,070.85 ",,," 13,073.45 ", Mid Cap 
177,INDIAN OVERSEAS BANK,INE565A01014,IOB,13062.26,IOB," 12,943.05 ",,," 13,002.65 ", Mid Cap 
178,ICICI SECURITIES LIMITED,INE763G01038,ISEC,12778.98,ISEC," 12,783.07 ",,," 12,781.03 ", Mid Cap 
179,MAX FINANCIAL SERVICES LIMITED,INE180A01020,MFSL,12766.75,MFSL," 12,764.22 ",,," 12,765.48 ", Mid Cap 
180,POLYCAB INDIA LIMITED,INE455K01017,POLYCAB,12757.57,POLYCAB," 12,751.43 ",,," 12,754.50 ", Mid Cap 
181,CITY UNION BANK LTD,INE491A01021,CUB,12690.59,CUB," 12,684.73 ",,," 12,687.66 ", Mid Cap 
182,DALMIA BHARAT LIMITED,INE00R701025,DALBHARAT*,12680.08,DALBHARAT," 12,678.46 ",,," 12,679.27 ", Mid Cap 
183,FEDERAL BANK LTD.,INE171A01029,FEDERALBNK,12618.61,FEDERALBNK," 12,629.00 ",,," 12,623.80 ", Mid Cap 
184,SYNGENE INTERNATIONAL LIMITED,INE398R01022,SYNGENE,12617.40,SYNGENE," 12,624.11 ",,," 12,620.76 ", Mid Cap 
185,CASTROL INDIA LTD,INE172A01027,CASTROLIND,12485.02,CASTROLIND," 12,500.22 ",,," 12,492.62 ", Mid Cap 
186,"CUMMINS INDIA LTD.,",INE298A01020,CUMMINSIND,12458.74,CUMMINSIND," 12,459.77 ",,," 12,459.25 ", Mid Cap 
187,WABCO INDIA LTD,INE342J01019,WABCOINDIA,12442.22,WABCOINDIA," 12,448.05 ",,," 12,445.14 ", Mid Cap 
